Epoch;Policy Loss;Value Loss;Total Loss
0;0.0669886;0.383587;0.450576
1;0.0669059;0.381904;0.44881
2;0.066998;0.397522;0.46452
3;0.0669672;0.392639;0.459606
4;0.0669205;0.356625;0.423546
5;0.066888;0.355691;0.422579
6;0.0669943;0.403308;0.470302
7;0.0669593;0.422369;0.489328
8;0.0668917;0.355561;0.422453
9;0.0669556;0.342937;0.409893
10;0.0669378;0.376236;0.443174
11;0.0669681;0.370422;0.43739
12;0.0669892;0.334857;0.401846
13;0.0670043;0.410422;0.477426
14;0.0669488;0.361289;0.428238
15;0.0669488;0.38366;0.450608
16;0.0669761;0.442377;0.509353
17;0.0669566;0.403961;0.470917
18;0.0669084;0.357093;0.424002
19;0.0669865;0.337633;0.40462
20;0.0669949;0.442786;0.509781
21;0.0669949;0.347212;0.414207
22;0.0670154;0.344857;0.411872
23;0.0669698;0.366289;0.433258
24;0.0669692;0.433457;0.500427
25;0.0670195;0.406794;0.473814
26;0.0669875;0.378474;0.445461
27;0.0670127;0.328052;0.395065
28;0.0669529;0.371731;0.438684
29;0.066953;0.376385;0.443338
30;0.0669572;0.339459;0.406416
31;0.0670206;0.410844;0.477865
32;0.0670085;0.396303;0.463311
33;0.0669729;0.444188;0.511161
34;0.0669745;0.387974;0.454948
35;0.0669378;0.378897;0.445834
36;0.0669609;0.36874;0.435701
37;0.0668948;0.374028;0.440923
38;0.0669964;0.405368;0.472364
39;0.0669849;0.403244;0.470229
40;0.0669666;0.387453;0.454419
41;0.0669038;0.41564;0.482544
42;0.0669823;0.407392;0.474374
43;0.0669797;0.393142;0.460122
44;0.0669572;0.35818;0.425137
45;0.0669357;0.408808;0.475743
46;0.0669817;0.358294;0.425276
47;0.0668722;0.390144;0.457016
48;0.0669493;0.388516;0.455465
49;0.0670001;0.365276;0.432276
50;0.0669703;0.405234;0.472205
51;0.0669609;0.357874;0.424834

